2009,793,751,1067,617,574,2076,590,1043,933
7595,2082,1361,2018,1124,913,2978,1183,2002,1498
8126,2264,1405,2023,1155,857,3520,1187,1824,1332
2701,1003,805,1196,741,706,1858,783,1280,1092
26659,7622,4360,5900,3989,2729,7317,4297,5861,4246
2172,703,656,901,511,421,2045,487,803,755
3436,1382,970,1339,891,758,2081,903,1412,1040
1880,904,751,918,677,674,1994,736,1311,1177
9720,2591,1583,2305,1388,1071,3391,1492,2305,1663
1804,830,712,858,657,617,1946,702,1186,1087
2243,977,892,1015,759,730,1718,729,1305,1201
12129,4473,2624,3305,2387,1918,4457,2413,3101,2662
5209,1588,1085,1541,932,782,2392,1024,1594,1251
14138,4012,2386,3435,2083,1621,4607,2351,3455,2528
2020,756,697,1031,669,629,1705,660,1085,1003
2118,874,810,972,639,650,1909,673,1110,1035
2328,970,840,1092,688,686,1876,727,1291,1068
2010,748,755,1193,609,558,1753,545,922,875
3185,1104,1024,1171,758,738,2048,686,1191,1047
16608,4276,2366,3313,2083,1423,4445,2384,3415,2137
13505,3535,2157,3138,1769,1211,4373,1734,2690,1872
8027,2116,1199,1858,1111,762,3332,1138,1815,1216
2751,1131,952,1244,826,791,2290,831,1399,1241
2430,968,907,1144,724,705,1903,604,1172,1056
1824,683,570,854,507,441,1685,481,844,785
2561,1107,928,1078,783,725,1887,809,1363,1189
10419,2828,1761,2451,1579,1165,3362,1723,2620,1863
1725,720,528,900,528,489,1515,498,872,840
6026,1902,1283,1797,1116,964,2610,1208,1905,1426
11980,3124,1765,3036,1460,1065,3979,1691,2799,1546
6906,1976,1190,1800,1069,745,3257,1191,1854,1433
9047,2399,1397,2176,1265,974,3503,1403,2187,1544
2989,1048,753,1138,689,620,1851,721,1205,1042
29959,11054,6601,7325,5921,4772,9199,6575,7632,6259
3136,1056,686,1016,658,601,1851,723,1218,1025
1969,852,803,1050,700,678,1673,663,1157,1075
11767,3578,2265,3183,2008,1470,4183,2103,3219,2242
16757,4236,2445,3749,2110,1347,5077,2330,3450,2260
2167,897,847,1141,697,663,1841,657,1145,1106
2293,983,964,1099,749,723,2182,819,1353,1200
14028,3886,2303,3213,2013,1485,4380,2238,3270,2271
7199,2173,1453,2011,1341,1097,3261,1428,2223,1687
6362,1855,1234,1791,1105,883,2726,1193,1885,1436
2518,978,854,1152,752,685,2124,732,1301,1155
2370,817,663,997,596,523,1835,527,950,829
3484,1134,878,1291,710,633,2028,690,1160,994
15476,4359,2530,3552,2166,1660,4676,2475,3564,2385
1986,784,715,918,650,683,1836,740,1242,1197
2415,794,717,870,589,523,1880,534,942,828
1833,679,663,1145,580,590,1798,546,992,896
1663,662,560,807,496,445,1703,493,867,746
7639,2155,1277,1937,1135,876,3124,1241,1907,1382
2196,914,835,1159,614,523,1581,541,993,908
6787,1963,1090,1875,967,787,2708,1112,1708,1207
19018,5241,3077,4329,2689,1986,5457,3154,4428,3149
8614,2421,1592,2315,1420,1035,3293,1514,2310,1668
2678,898,926,1244,700,600,1577,629,1173,1062
1582,562,544,998,411,437,1868,426,801,740
3332,1172,1027,1418,878,823,2176,846,1468,1267
4734,1515,1084,1475,951,711,2078,892,1460,1238
2062,827,775,955,676,634,1935,687,1185,1118
11597,3031,1647,2624,1471,1083,4034,1590,2652,1751
4035,1441,1057,1283,945,887,2200,905,1592,1282
7687,2557,1813,2373,1526,1362,3925,1736,2659,2116
2166,925,922,1104,760,734,2369,730,1286,1162
2554,860,721,1031,603,617,1532,593,1035,961
4655,1602,1355,1511,1120,970,2213,1186,1824,1699
2184,838,741,1037,618,593,2040,588,1065,969
21760,5466,2976,4526,2595,1774,6142,3087,4519,2659
15012,4197,2455,3358,2205,1609,4174,2379,3276,2392
18452,4665,2597,4053,2355,1525,5222,2798,4252,2585
2122,846,816,1055,659,615,1941,627,1080,1074
2083,856,791,1018,689,689,1967,684,1091,1034
1583,615,612,911,550,531,1790,552,951,873
